code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,pegged,delete,0.002,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043617,0.686896
K3_R1_2,pegged,delete,0.004,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.036506,0.697599
K3_R1_2,pegged,delete,0.006,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.025439,0.714256
K3_R1_2,pegged,delete,0.008,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.029800,0.707693
K3_R1_2,pegged,delete,0.01,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.039673,0.692832
K3_R1_2,pegged,delete,0.012,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.046889,0.681972
K3_R1_2,pegged,delete,0.015,0.01,0.01,0.01,0.01,4,0.993487,0.000000,0.028208,0.710089
K3_R1_2,pegged,delete,0.018,0.01,0.01,0.01,0.01,4,0.998763,0.000000,0.056377,0.667692
K3_R1_2,pegged,delete,0.021,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.033058,0.702788
K3_R1_2,pegged,delete,0.025,0.01,0.01,0.01,0.01,4,0.961213,0.000000,0.029602,0.707990
K3_R1_2,pegged,delete,0.029,0.01,0.01,0.01,0.01,4,0.953436,0.000000,0.039500,0.693093
K3_R1_2,pegged,delete,0.033,0.01,0.01,0.01,0.01,4,0.926761,0.000000,0.030610,0.706474
K3_R1_2,pegged,delete,0.038,0.01,0.01,0.01,0.01,4,0.913215,0.000000,0.051762,0.674638
K3_R1_2,pegged,delete,0.043,0.01,0.01,0.01,0.01,4,0.906643,0.000000,0.027158,0.711669
K3_R1_2,pegged,delete,0.05,0.01,0.01,0.01,0.01,4,0.939182,0.000000,0.038687,0.694317
K3_R1_2,pegged,delete,0.057,0.01,0.01,0.01,0.01,4,0.799233,0.000000,0.024552,0.715591
K3_R1_2,pegged,delete,0.064,0.01,0.01,0.01,0.01,4,0.697707,0.000000,0.048995,0.678802
K3_R1_2,pegged,delete,0.07,0.01,0.01,0.01,0.01,4,0.703035,0.001729,0.040063,0.692247
K3_R1_2,pegged,erase,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043093,0.687686
K3_R1_2,pegged,erase,0.006,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.027807,0.710691
K3_R1_2,pegged,erase,0.012,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.027555,0.711071
K3_R1_2,pegged,erase,0.018,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.029743,0.707779
K3_R1_2,pegged,erase,0.022,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.024227,0.716080
K3_R1_2,pegged,erase,0.026,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043212,0.687507
K3_R1_2,pegged,erase,0.03,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.024454,0.715738
K3_R1_2,pegged,erase,0.035,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.019321,0.723464
K3_R1_2,pegged,erase,0.04,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.037113,0.696685
K3_R1_2,pegged,erase,0.045,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.034693,0.700327
K3_R1_2,pegged,erase,0.05,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.032449,0.703706
K3_R1_2,pegged,erase,0.06,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.037576,0.695989
K3_R1_2,pegged,erase,0.07,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.036442,0.697695
K3_R1_2,pegged,erase,0.08,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.055063,0.669670
K3_R1_2,pegged,erase,0.09,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.035868,0.698559
K3_R1_2,pegged,erase,0.1,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.037255,0.696472
K3_R1_2,pegged,erase,0.11,0.01,0.01,0.01,0.01,4,0.994032,0.000000,0.050760,0.676145
K3_R1_2,pegged,erase,0.12,0.01,0.01,0.01,0.01,4,0.988699,0.000000,0.068355,0.649663
K3_R1_2,pegged,erase,0.13,0.01,0.01,0.01,0.01,4,0.932592,0.000000,0.076346,0.637637
K3_R1_2,pegged,erase,0.14,0.01,0.01,0.01,0.01,4,0.901095,0.000000,0.082746,0.628004
K3_R1_2,pegged,erase,0.15,0.01,0.01,0.01,0.01,4,0.840395,0.000000,0.026069,0.713307
K3_R1_2,pegged,erase,0.16,0.01,0.01,0.01,0.01,4,0.839461,0.000000,0.112699,0.582922
K3_R1_2,pegged,erase,0.18,0.01,0.01,0.01,0.01,4,0.608440,0.019302,0.131836,0.554119
K3_R1_2,pegged,erase,0.2,0.01,0.01,0.01,0.01,4,0.536992,0.036471,0.167444,0.500526
K3_R1_2,pegged,erase,0.22,0.01,0.01,0.01,0.01,4,0.384411,0.185153,0.299566,0.301671
K3_R1_2,pegged,erase,0.24,0.01,0.01,0.01,0.01,4,0.346758,0.235243,0.314388,0.279363
K3_R1_2,pegged,erase,0.26,0.01,0.01,0.01,0.01,4,0.342043,0.237739,0.355114,0.218067
K7_R1_2,pegged,flip,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.021208,0.720625
K7_R1_2,pegged,flip,0.004,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.019294,0.723504
K7_R1_2,pegged,flip,0.008,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.048775,0.679133
K7_R1_2,pegged,flip,0.01,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043632,0.686875
K7_R1_2,pegged,flip,0.012,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.031227,0.705545
K7_R1_2,pegged,flip,0.014,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.027320,0.711425
K7_R1_2,pegged,flip,0.016,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.025418,0.714288
K7_R1_2,pegged,flip,0.018,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.031723,0.704798
K7_R1_2,pegged,flip,0.02,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.038434,0.694697
K7_R1_2,pegged,flip,0.024,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.033361,0.702334
K7_R1_2,pegged,flip,0.028,0.01,0.01,0.01,0.01,4,0.998831,0.000000,0.055582,0.668889
K7_R1_2,pegged,flip,0.032,0.01,0.01,0.01,0.01,4,0.976610,0.000000,0.034619,0.700440
K7_R1_2,pegged,flip,0.036,0.01,0.01,0.01,0.01,4,0.944557,0.000000,0.032412,0.703761
K7_R1_2,pegged,flip,0.04,0.01,0.01,0.01,0.01,4,0.766650,0.004176,0.038666,0.694348
K7_R1_2,pegged,flip,0.045,0.01,0.01,0.01,0.01,4,0.681863,0.003901,0.031024,0.705850
K7_R1_2,pegged,flip,0.05,0.01,0.01,0.01,0.01,4,0.549805,0.038061,0.035498,0.699116
K7_R1_2,pegged,flip,0.055,0.01,0.01,0.01,0.01,4,0.512995,0.101371,0.038120,0.695170
