code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,matched,delete,0.002,0.01,0.01,0.002,0.01,4,0.999091,0.000909,0.000000,0.525595
K3_R1_2,matched,delete,0.004,0.01,0.01,0.004,0.01,4,0.969405,0.021616,0.000000,0.525595
K3_R1_2,matched,delete,0.006,0.01,0.01,0.006,0.01,4,0.922317,0.049226,0.000000,0.525595
K3_R1_2,matched,delete,0.008,0.01,0.01,0.008,0.01,4,0.946701,0.035641,0.000000,0.525595
K3_R1_2,matched,delete,0.01,0.01,0.01,0.01,0.01,4,0.835126,0.102422,0.000000,0.525595
K3_R1_2,matched,delete,0.012,0.01,0.01,0.012,0.01,4,0.804630,0.119237,0.000000,0.525595
K3_R1_2,matched,delete,0.015,0.01,0.01,0.015,0.01,4,0.648927,0.198431,0.000000,0.525595
K3_R1_2,matched,delete,0.018,0.01,0.01,0.018,0.01,4,0.543794,0.257377,0.000000,0.525595
K3_R1_2,matched,delete,0.021,0.01,0.01,0.021,0.01,4,0.370221,0.348915,0.000000,0.525595
K3_R1_2,matched,delete,0.025,0.01,0.01,0.025,0.01,4,0.331338,0.362909,0.000000,0.525595
K3_R1_2,matched,delete,0.029,0.01,0.01,0.029,0.01,4,0.176832,0.446209,0.000000,0.525595
K3_R1_2,matched,delete,0.033,0.01,0.01,0.033,0.01,4,0.180984,0.436716,0.000000,0.525595
K3_R1_2,matched,delete,0.038,0.01,0.01,0.038,0.01,4,0.148599,0.452224,0.000000,0.525595
K3_R1_2,matched,delete,0.043,0.01,0.01,0.043,0.01,4,0.098875,0.475548,0.000000,0.525595
K3_R1_2,matched,delete,0.05,0.01,0.01,0.05,0.01,4,0.095825,0.477056,0.000000,0.525595
K3_R1_2,matched,delete,0.057,0.01,0.01,0.057,0.01,4,0.018785,0.517773,0.000000,0.525595
K3_R1_2,matched,delete,0.064,0.01,0.01,0.064,0.01,4,0.000000,0.525595,0.000000,0.525595
K3_R1_2,matched,delete,0.07,0.01,0.01,0.07,0.01,4,0.000000,0.525595,0.000000,0.525595
K3_R1_2,matched,erase,0,0.01,0.01,0.01,0,4,0.999939,0.000061,0.000000,0.724979
K3_R1_2,matched,erase,0.006,0.01,0.01,0.01,0.006,4,0.999744,0.000256,0.000000,0.597984
K3_R1_2,matched,erase,0.012,0.01,0.01,0.01,0.012,4,0.997212,0.002788,0.000000,0.492660
K3_R1_2,matched,erase,0.018,0.01,0.01,0.01,0.018,4,0.965891,0.021380,0.000000,0.405409
K3_R1_2,matched,erase,0.022,0.01,0.01,0.01,0.022,4,0.939608,0.035413,0.000000,0.355769
K3_R1_2,matched,erase,0.026,0.01,0.01,0.01,0.026,4,0.867472,0.070507,0.000000,0.312041
K3_R1_2,matched,erase,0.03,0.01,0.01,0.01,0.03,4,0.879861,0.055857,0.000000,0.273540
K3_R1_2,matched,erase,0.035,0.01,0.01,0.01,0.035,4,0.621948,0.112560,0.000000,0.231846
K3_R1_2,matched,erase,0.04,0.01,0.01,0.01,0.04,4,0.573023,0.111171,0.000000,0.196338
K3_R1_2,matched,erase,0.045,0.01,0.01,0.01,0.045,4,0.422529,0.134747,0.000000,0.166124
K3_R1_2,matched,erase,0.05,0.01,0.01,0.01,0.05,4,0.369336,0.127276,0.000000,0.140437
K3_R1_2,matched,erase,0.06,0.01,0.01,0.01,0.06,4,0.296070,0.097715,0.000000,0.100096
